AnimalID,Name,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,year,month,neutralized,Mix
A697722,Ruby,2015-02-28 15:18:00,Return_to_owner,Dog,Female,2.0,Labrador Retriever,Black,2015,2,True,True
A681707,Bear,2014-07-04 18:42:00,Euthanasia,Cat,Male,0.08333333333333333,Domestic Shorthair,Brown Tabby,2014,7,False,True
A675910,Tank,2014-04-02 17:47:00,Return_to_owner,Dog,Male,6.0,Australian Cattle Dog,Blue Merle,2014,4,True,True
A682230,,2014-06-29 17:26:00,Transfer,Dog,Female,0.5,Maltese,White,2014,6,True,True
A430368,Arenal,2014-02-21 18:09:00,Adoption,Dog,Male,7.0,Labrador Retriever,Black/White,2014,2,True,True
A671997,,2014-02-07 16:18:00,Transfer,Dog,Male,0.8333333333333334,Yorkshire Terrier,Black/Tan,2014,2,True,False
A590957,Harley,2013-12-19 13:07:00,Return_to_owner,Dog,Male,4.0,Chihuahua Shorthair,Blue,2013,12,True,True
A695771,Fox,2015-05-25 13:38:00,Transfer,Cat,Male,0.8333333333333334,Domestic Shorthair,Blue/White,2015,5,True,True
A674191,Dixie,2014-04-11 15:33:00,Adoption,Dog,Female,1.0,Australian Cattle Dog,Red Merle,2014,4,True,True
A714075,Bonnie,2015-11-11 15:52:00,Adoption,Dog,Female,3.0,Australian Kelpie,Black,2015,11,True,True
A691383,Bella,2014-11-04 16:41:00,Return_to_owner,Dog,Female,3.0,Basset Hound,Tricolor,2014,11,True,False
A683624,Lucy,2014-08-17 17:37:00,Adoption,Dog,Female,3.0,Labrador Retriever,Black/White,2014,8,True,True
A719128,Lulu,2016-02-08 19:11:00,Adoption,Dog,Female,2.0,Norwich Terrier,Tan/White,2016,2,True,True
A667474,Gracie,2014-01-03 17:41:00,Adoption,Dog,Female,2.0,Pit Bull,Blue/White,2014,1,True,True
A669292,,2013-12-18 11:37:00,Transfer,Dog,Female,0.3333333333333333,Chihuahua Shorthair,Brown/White,2013,12,False,True
A710381,,2015-08-22 15:44:00,Transfer,Cat,,0.019230769230769232,Domestic Shorthair,Orange Tabby,2015,8,,True
A714784,,2015-10-29 18:34:00,Euthanasia,Cat,Male,0.07692307692307693,Domestic Shorthair,Orange Tabby,2015,10,False,True
A697967,Piper,2015-03-08 18:19:00,Adoption,Dog,Female,0.3333333333333333,Australian Kelpie,Black/Brown,2015,3,True,True
A680480,Ozzy,2014-06-07 19:01:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Blue Tabby,2014,6,True,True
A691294,Libby,2014-11-07 16:02:00,Transfer,Dog,Female,0.5,Blue Lacy,Blue,2014,11,True,True
A712807,Greg,2015-10-06 13:06:00,Transfer,Dog,Male,0.8333333333333334,Belgian Malinois,Tan/Black,2015,10,True,True
A671562,Princess,2014-02-04 18:19:00,Return_to_owner,Dog,Female,2.0,Rat Terrier,Brown/White,2014,2,True,False
A673727,,2014-03-01 17:51:00,Transfer,Dog,Female,0.08333333333333333,Dachshund,Blue/Tan,2014,3,False,True
A665869,Smokey,2013-11-07 18:23:00,Adoption,Dog,Male,0.8333333333333334,Border Terrier,Brown,2013,11,True,False
A679673,,2014-05-24 17:08:00,Transfer,Cat,Female,0.0576923076923077,Domestic Shorthair,Calico,2014,5,False,True
A678289,Ollie,2014-07-01 16:27:00,Adoption,Dog,Male,0.08333333333333333,Chihuahua Shorthair,Brown,2014,7,True,False
A687434,Freda,2014-10-12 17:00:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Black,2014,10,True,True
A690710,Piper,2014-10-24 18:32:00,Return_to_owner,Dog,Female,5.0,Miniature Schnauzer,Silver,2014,10,True,True
A712328,,2015-09-25 12:15:00,Euthanasia,Cat,Female,10.0,Domestic Shorthair,Black/White,2015,9,False,True
A714886,,2015-10-31 17:48:00,Transfer,Dog,Male,0.5,Jack Russell Terrier,Black/White,2015,10,True,True
A714977,,2015-11-07 11:56:00,Euthanasia,Cat,Male,0.08333333333333333,Domestic Shorthair,Brown Tabby/White,2015,11,False,True
A704358,,2015-06-04 09:00:00,Transfer,Cat,,2.0,Domestic Shorthair,Black,2015,6,,True
A711817,Tibby,2015-11-09 17:23:00,Adoption,Cat,Female,0.25,Domestic Shorthair,Black/White,2015,11,False,True
A549167,Manda,2014-10-26 16:08:00,Adoption,Dog,Female,6.0,Great Pyrenees,White/Black,2014,10,True,False
A661676,Chori,2014-10-24 09:19:00,Euthanasia,Dog,Female,7.0,Pit Bull,Brown/White,2014,10,True,True
A712744,Weez,2015-12-21 19:27:00,Adoption,Cat,Male,0.3333333333333333,Domestic Shorthair,White/Brown Tabby,2015,12,True,True
A702160,Eagle,2015-05-31 16:37:00,Died,Cat,Male,0.08333333333333333,Domestic Shorthair,Brown Tabby/White,2015,5,False,True
A711841,Bingo,2015-09-17 09:27:00,Transfer,Dog,Male,0.4166666666666667,Labrador Retriever,Black/White,2015,9,True,True
A694513,,2015-01-02 17:36:00,Adoption,Cat,Male,0.16666666666666666,Ragdoll,Flame Point,2015,1,True,True
A707113,,2015-09-12 17:08:00,Adoption,Cat,Female,0.25,Domestic Shorthair,Black/White,2015,9,True,True
A714721,,2015-10-27 12:34:00,Transfer,Cat,,0.0576923076923077,Domestic Shorthair,Brown Tabby,2015,10,,True
A680385,Magic,2014-06-05 17:37:00,Return_to_owner,Dog,Male,2.0,Labrador Retriever,Blue/White,2014,6,True,False
A709299,Jon,2015-08-11 00:00:00,Transfer,Cat,Male,0.08333333333333333,Domestic Shorthair,Black,2015,8,False,True
A685975,Lola,2014-08-19 17:29:00,Adoption,Dog,Female,4.0,Miniature Poodle,Gray/White,2014,8,True,True
A709656,Scrappy,2015-08-13 18:14:00,Return_to_owner,Dog,Male,0.5,Pit Bull,Black/White,2015,8,True,True
A683306,Pikachu,2014-07-11 17:49:00,Return_to_owner,Dog,Male,0.16666666666666666,Chihuahua Shorthair,Tan/White,2014,7,True,True
A701397,Platypus,2015-06-09 11:59:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Brown Tabby,2015,6,True,True
A668392,Kora,2013-12-07 12:29:00,Adoption,Dog,Female,0.16666666666666666,Australian Shepherd,Blue Merle/White,2013,12,False,True
A629363,Spike,2014-12-17 12:22:00,Transfer,Dog,Male,8.0,Parson Russell Terrier,White,2014,12,True,True
A711713,Link Iii,2015-09-23 08:42:00,Transfer,Cat,Male,0.08333333333333333,Siamese,Lynx Point,2015,9,False,True
A691453,Toby,2015-12-13 15:07:00,Adoption,Dog,Male,6.0,Pit Bull,Black Brindle/White,2015,12,True,True
A686625,,2014-08-24 15:34:00,Transfer,Cat,Male,0.0576923076923077,Domestic Shorthair,Black,2014,8,False,True
A673059,Capone,2014-02-21 17:43:00,Adoption,Dog,Male,0.08333333333333333,Doberman Pinsch,Black/Brown Brindle,2014,2,True,False
A707897,Arya,2015-07-23 18:05:00,Adoption,Dog,Female,0.25,Chihuahua Shorthair,Black/Brown,2015,7,True,True
A682950,Delilah,2014-08-10 15:23:00,Adoption,Dog,Female,6.0,Chihuahua Shorthair,Tan/White,2014,8,True,True
A673635,,2014-03-04 18:11:00,Adoption,Dog,Male,0.75,Miniature Pinscher,Tricolor,2014,3,True,True
A684069,,2014-07-19 13:07:00,Transfer,Cat,Female,0.038461538461538464,Domestic Medium Hair,Brown Tabby,2014,7,False,True
A703762,George,2015-07-10 14:02:00,Transfer,Dog,Male,1.0,Chihuahua Shorthair,Tan,2015,7,True,True
A684451,,2014-07-24 09:00:00,Transfer,Cat,Male,1.0,Domestic Shorthair,White,2014,7,False,True
A718133,,2015-12-23 12:58:00,Euthanasia,Dog,,16.0,Chihuahua Shorthair,White/Silver,2015,12,,False
A651000,Radar,2014-11-15 16:38:00,Return_to_owner,Cat,Male,13.0,Domestic Shorthair,Black/White,2014,11,True,False
A681459,Shwayze,2014-06-27 13:11:00,Return_to_owner,Dog,Male,3.0,Catahoula,Brown Brindle,2014,6,True,True
A695475,Gizmo,2015-01-17 17:26:00,Return_to_owner,Dog,Male,3.0,Lhasa Apso,Tan/Brown,2015,1,True,False
A666622,Gigglez,2013-11-11 18:41:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Black/White,2013,11,True,True
A698874,Jasmine,2015-03-28 13:49:00,Adoption,Dog,Female,0.8333333333333334,Boxer,Brown,2015,3,True,True
A708141,Tank Girl,2015-08-28 15:36:00,Transfer,Dog,Female,2.0,Chinese Sharpei,Tan,2015,8,True,True
A708070,,2015-07-22 14:49:00,Transfer,Cat,Female,0.038461538461538464,Domestic Shorthair,Tortie,2015,7,False,True
A700566,Lyric,2015-07-22 09:16:00,Adoption,Cat,Female,0.25,Domestic Shorthair,Blue Tabby,2015,7,True,True
A684874,Jazz,2014-11-23 17:18:00,Adoption,Dog,Female,1.0,Plott Hound,Brown Brindle/White,2014,11,True,True
A711594,,2015-09-13 16:36:00,Transfer,Dog,Male,0.16666666666666666,Yorkshire Terrier,Gray,2015,9,False,False
A690483,Dexter,2014-11-13 15:48:00,Adoption,Dog,Male,0.16666666666666666,Border Terrier,Tan,2014,11,False,True
A698789,Oscar,2015-03-22 17:46:00,Adoption,Dog,Male,0.16666666666666666,Redbone Hound,Tricolor,2015,3,True,True
A667452,Rain,2013-11-22 17:02:00,Adoption,Dog,Male,3.0,Chihuahua Longhair,Tricolor,2013,11,True,True
A665342,Bleu,2013-12-31 16:23:00,Adoption,Dog,Male,0.5833333333333334,Chesa Bay Retr,Chocolate/White,2013,12,True,True
A690269,Trixie,2015-01-27 16:26:00,Adoption,Dog,Female,0.9166666666666666,Labrador Retriever,Yellow,2015,1,True,True
A666473,Grey,2013-11-07 12:45:00,Adoption,Dog,Female,3.0,Queensland Heeler,Black/White,2013,11,True,True
A689794,Lyle,2014-10-21 13:16:00,Euthanasia,Dog,Male,2.0,Australian Cattle Dog,Black/White,2014,10,True,False
A681505,Hamilton,2014-06-26 14:03:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Brown Tabby/White,2014,6,True,True
A667195,Luna,2014-02-17 11:20:00,Adoption,Dog,Female,7.0,Labrador Retriever,Black/White,2014,2,True,False
A691207,Juno,2014-12-05 17:13:00,Transfer,Dog,Female,2.0,Pit Bull,Brown/White,2014,12,True,True
A691280,Basil,2014-12-08 17:58:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Black,2014,12,True,True
A693188,,2014-12-04 09:00:00,Transfer,Cat,Male,1.0,Domestic Shorthair,Blue Tabby,2014,12,False,True
A656387,Ned,2013-10-12 19:00:00,Return_to_owner,Dog,Male,2.0,Labrador Retriever,Red/White,2013,10,True,False
A671596,Maya,2014-02-04 14:09:00,Transfer,Dog,Female,0.3333333333333333,Pit Bull,Brown/White,2014,2,True,True
A681190,China,2014-08-19 16:20:00,Transfer,Dog,Female,4.0,American Pit Bull Terrier,White/Tan,2014,8,True,False
A690431,Spooky,2015-01-03 13:34:00,Adoption,Cat,Female,0.25,Domestic Longhair,Black,2015,1,True,True
A666895,Moira,2013-12-16 12:31:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Brown Tabby,2013,12,True,True
A695919,Willie,2015-02-01 13:24:00,Adoption,Dog,Male,2.0,Boxer,Brown Brindle,2015,2,True,True
A711741,Link,2015-09-12 13:37:00,Return_to_owner,Dog,Male,4.0,Dachshund,White/Tan,2015,9,True,True
A717558,Chinchilla,2015-12-28 08:10:00,Transfer,Cat,Female,0.16666666666666666,Domestic Shorthair,Torbie,2015,12,True,True
A674650,,2014-03-16 16:05:00,Transfer,Cat,Female,0.038461538461538464,Domestic Shorthair,Tortie,2014,3,False,True
A670897,Toby,2014-01-17 17:57:00,Return_to_owner,Dog,Male,2.0,Australian Cattle Dog,White/Tricolor,2014,1,True,False
A674007,,2014-03-07 15:45:00,Transfer,Dog,Female,0.3333333333333333,Pit Bull,Chocolate/White,2014,3,False,True
A715134,,2015-11-01 09:00:00,Transfer,Cat,Male,0.25,Domestic Shorthair,Blue Tabby,2015,11,False,True
A718683,,2016-01-05 13:27:00,Transfer,Cat,Male,0.25,Domestic Shorthair,Orange Tabby/White,2016,1,False,True
A702819,,2015-05-18 13:07:00,Euthanasia,Cat,,0.019230769230769232,Domestic Shorthair,Blue Tabby/White,2015,5,,True
A707651,Ava,2015-07-21 17:37:00,Adoption,Dog,Female,3.0,Plott Hound,Brown Brindle,2015,7,True,True
A667970,Tucker,2013-11-30 17:17:00,Adoption,Dog,Male,0.4166666666666667,Labrador Retriever,Tan/Black,2013,11,True,False
A711905,,2015-09-17 18:35:00,Adoption,Dog,Female,0.5833333333333334,Flat Coat Retriever,Chocolate,2015,9,True,True
A704993,Kyra,2015-06-19 09:20:00,Died,Cat,Female,0.07692307692307693,Domestic Shorthair,Tortie,2015,6,False,True
A699469,Fallon,2015-04-03 16:52:00,Transfer,Dog,Female,0.16666666666666666,Labrador Retriever,Black/White,2015,4,True,True
A690387,,2014-10-20 09:00:00,Transfer,Cat,Male,1.0,Domestic Shorthair,Black,2014,10,False,True
A665225,,2013-10-19 17:53:00,Adoption,Dog,Female,0.16666666666666666,Pug,Brown/Black,2013,10,True,True
A671027,Star,2014-02-06 17:18:00,Adoption,Dog,Female,3.0,Chihuahua Shorthair,White/Chocolate,2014,2,True,True
A694956,Cane,2015-01-30 14:55:00,Adoption,Dog,Male,1.0,American Bulldog,White/Black,2015,1,True,True
A691749,Paisley,2014-11-13 11:23:00,Adoption,Dog,Female,0.16666666666666666,Labrador Retriever,Black/White,2014,11,True,True
A714816,Rye,2015-11-03 11:52:00,Transfer,Cat,Male,0.07692307692307693,Domestic Shorthair,Blue Tabby/White,2015,11,False,True
A704297,,2015-06-03 14:36:00,Euthanasia,Cat,Male,0.08333333333333333,Domestic Shorthair,Black,2015,6,False,True
A685575,Coco,2014-08-12 17:11:00,Return_to_owner,Dog,Male,0.4166666666666667,Jack Russell Terrier,White,2014,8,True,True
A706200,Buddah,2015-06-26 16:18:00,Return_to_owner,Dog,Male,0.3333333333333333,Wirehaired Pointing Griffon,Black/White,2015,6,True,True
A707817,,2015-07-19 09:00:00,Transfer,Cat,Female,0.3333333333333333,Domestic Shorthair,Brown Tabby,2015,7,False,True
A709694,,2015-08-12 13:19:00,Euthanasia,Cat,Female,1.0,Domestic Shorthair,Brown Tabby,2015,8,False,True
A701319,Mittens,2015-05-04 17:04:00,Adoption,Cat,Female,3.0,Domestic Shorthair,Black/White,2015,5,True,True
A714196,Pookie Bear,2015-11-04 10:36:00,Transfer,Cat,Male,7.0,Domestic Longhair,Black,2015,11,True,True
A700388,,2015-04-14 09:00:00,Transfer,Cat,Male,3.0,Domestic Shorthair,Orange Tabby,2015,4,False,True
A701530,Tina,2015-08-11 16:24:00,Return_to_owner,Cat,Female,2.0,Domestic Shorthair,Brown Tabby/White,2015,8,True,True
A699342,Shadow,2015-03-26 11:42:00,Return_to_owner,Dog,Female,3.0,Border Collie,Black/White,2015,3,True,True
A668607,Mr. Pepper,2014-06-17 13:26:00,Transfer,Dog,Male,2.0,French Bulldog,Black/Red,2014,6,True,False
A694647,Vincent,2015-01-20 16:15:00,Adoption,Dog,Male,0.8333333333333334,German Shepherd,Black,2015,1,True,True
A708049,Oliver,2015-08-03 17:11:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Orange Tabby/White,2015,8,True,True
A709372,Mystery,2015-08-09 18:52:00,Adoption,Dog,Female,10.0,Greyhound,Tan/White,2015,8,True,True
A694872,,2015-01-05 19:00:00,Euthanasia,Cat,Female,8.0,Domestic Medium Hair,White,2015,1,False,True
A673972,Eddie,2014-03-10 17:30:00,Died,Dog,Male,10.0,Pug,Cream,2014,3,True,False
A669482,Truman,2013-12-27 16:46:00,Adoption,Dog,Male,5.0,Pug,Brown/Black,2013,12,True,False
A708388,,2015-07-28 09:00:00,Transfer,Cat,Male,0.4166666666666667,Domestic Shorthair,Blue,2015,7,False,True
A678315,Ruxpin,2014-05-18 11:08:00,Transfer,Dog,Female,12.0,Flat Coat Retriever,Black,2014,5,False,True
A715323,Telli,2015-11-30 13:56:00,Transfer,Dog,Female,2.0,German Shepherd,Black/Brown Brindle,2015,11,True,True
A666423,,2013-11-01 11:06:00,Euthanasia,Dog,Female,2.0,Pit Bull,Red/Brown,2013,11,False,True
A669054,Izzy,2013-12-18 14:38:00,Transfer,Cat,Female,1.0,Domestic Shorthair,Blue Tabby,2013,12,True,True
A669181,,2013-12-18 18:21:00,Adoption,Dog,Male,0.16666666666666666,Labrador Retriever,Black/White,2013,12,True,True
A684079,Cleo,2014-07-23 18:36:00,Adoption,Dog,Female,0.16666666666666666,Chihuahua Longhair,Sable/Tan,2014,7,True,True
A627376,Major,2015-07-21 17:09:00,Adoption,Dog,Male,6.0,American Staffordshire Terrier,Brown/White,2015,7,True,False
A668503,,2013-12-06 17:28:00,Transfer,Cat,,2.0,Domestic Shorthair,Orange Tabby,2013,12,,True
A667008,Meerka,2013-11-24 13:32:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Blue,2013,11,False,True
A720854,,2016-02-20 17:31:00,Transfer,Dog,Male,7.0,Chihuahua Longhair,Brown/White,2016,2,True,True
A681246,Max,2014-07-03 14:38:00,Adoption,Cat,Male,0.16666666666666666,Domestic Medium Hair,Brown Tabby/White,2014,7,False,True
A667329,Tres,2013-11-21 13:34:00,Adoption,Cat,Male,0.3333333333333333,Domestic Shorthair,Orange Tabby/White,2013,11,True,True
A654782,Gilda,2013-10-09 18:54:00,Adoption,Dog,Female,0.9166666666666666,Pointer,White/Black,2013,10,True,False
A699834,Keller,2015-04-09 15:30:00,Return_to_owner,Dog,Female,2.0,Australian Shepherd,Red Merle,2015,4,True,False
A705611,Jay,2015-06-24 15:14:00,Transfer,Dog,Female,0.25,Pit Bull,White/Brown,2015,6,False,True
A678314,Peabody,2014-05-22 11:50:00,Adoption,Dog,Male,3.0,Chihuahua Shorthair,Cream,2014,5,True,True
A713406,,2015-10-08 13:47:00,Transfer,Cat,Male,0.07692307692307693,Domestic Shorthair,Brown Tabby,2015,10,False,True
A700364,Squirt,2015-05-17 11:12:00,Adoption,Cat,Male,0.16666666666666666,Manx,Orange Tabby,2015,5,True,True
A664742,Angel,2013-10-11 18:08:00,Return_to_owner,Dog,Female,4.0,Dachshund,Black/White,2013,10,True,True
A701395,Koala,2015-06-24 12:23:00,Transfer,Cat,Female,0.16666666666666666,Domestic Shorthair,Black/White,2015,6,True,True
A672192,Aspen,2014-05-22 10:18:00,Adoption,Cat,Male,0.25,Domestic Shorthair,Orange Tabby,2014,5,True,True
A677338,Louise,2014-04-25 13:04:00,Transfer,Dog,Female,0.08333333333333333,Cairn Terrier,Tan,2014,4,False,False
A669135,Holly,2013-12-18 16:14:00,Transfer,Cat,Female,0.08333333333333333,Domestic Shorthair,Tortie,2013,12,False,True
A688881,,2014-09-29 16:38:00,Adoption,Dog,Male,0.8333333333333334,Soft Coated Wheaten Terrier,Cream,2014,9,True,True
A693670,,2014-12-28 13:26:00,Transfer,Dog,Male,0.5,Beagle,Tan/White,2014,12,False,True
A692883,Patches,2015-01-09 15:28:00,Return_to_owner,Dog,Female,0.75,English Pointer,White/Black,2015,1,True,True
A689496,Winston,2014-10-04 17:28:00,Euthanasia,Dog,Male,10.0,St. Bernard Smooth Coat,White/Brown,2014,10,False,True
A692132,Albert,2014-11-21 11:12:00,Transfer,Dog,Male,0.3333333333333333,Pit Bull,Tan/White,2014,11,True,True
A678590,,2014-05-17 12:13:00,Adoption,Dog,Male,0.16666666666666666,German Shepherd,Tricolor/Brown,2014,5,True,False
A701742,Boots,2015-05-07 15:12:00,Return_to_owner,Dog,Male,12.0,Chihuahua Longhair,Tan,2015,5,False,True
A714320,Pils,2015-12-18 14:49:00,Adoption,Cat,Female,2.0,Domestic Shorthair,Calico,2015,12,True,True
A704121,Lacey 3,2015-06-03 12:11:00,Transfer,Dog,Female,2.0,Shih Tzu,Tricolor,2015,6,True,True
A658625,Hogan,2014-01-19 17:07:00,Adoption,Cat,Male,9.0,Domestic Shorthair,Brown Tabby,2014,1,True,True
A536757,Tona,2015-06-21 11:59:00,Return_to_owner,Dog,Female,8.0,Miniature Poodle,Buff,2015,6,True,True
A684436,Aria,2014-08-24 14:51:00,Transfer,Dog,Female,1.0,Labrador Retriever,Black/White,2014,8,True,True
A703541,Clifford,2015-05-30 15:18:00,Transfer,Dog,Male,0.16666666666666666,Newfoundland,Black/White,2015,5,False,True
A676549,,2014-04-17 13:46:00,Transfer,Dog,Female,0.6666666666666666,Queensland Heeler,White/Brown,2014,4,False,True
A690041,Caramel,2014-11-08 17:46:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Orange Tabby/White,2014,11,True,True
A656767,Bluebell,2014-10-09 18:08:00,Return_to_owner,Dog,Female,2.0,Pit Bull,Brown/White,2014,10,True,True
A685624,Lucy,2014-08-12 17:59:00,Return_to_owner,Dog,Female,3.0,Chihuahua Shorthair,Brown,2014,8,False,True
A710335,Rebbie,2015-09-05 08:45:00,Died,Cat,Male,0.08333333333333333,Domestic Longhair,Blue,2015,9,False,True
A616126,Max,2014-04-27 17:38:00,Return_to_owner,Dog,Male,2.0,Chihuahua Shorthair,White/Tan,2014,4,True,True
A627576,Miles,2015-02-14 12:25:00,Transfer,Dog,Male,2.0,Labrador Retriever,Brown,2015,2,True,True
A705306,,2015-06-16 09:00:00,Transfer,Cat,Female,0.8333333333333334,Domestic Shorthair,Brown Tabby,2015,6,False,True
A618687,Buddy,2015-05-20 14:13:00,Euthanasia,Dog,Male,12.0,Rottweiler,Black/Tan,2015,5,True,False
A667591,Molly Blue,2013-12-19 13:06:00,Adoption,Dog,Female,1.0,Border Collie,Black/White,2013,12,True,True
A720186,,2016-02-05 15:08:00,Transfer,Dog,Female,12.0,Labrador Retriever,Black/Brown,2016,2,False,False
A712904,,2015-09-29 19:01:00,Transfer,Cat,Male,0.019230769230769232,Domestic Shorthair,Brown Tabby/White,2015,9,False,True
A680852,Ranger,2014-07-26 14:43:00,Adoption,Dog,Male,0.25,Pointer,Black/White,2014,7,True,False
A697877,Dumpling,2015-03-09 11:37:00,Transfer,Dog,Female,10.0,Lhasa Apso,Buff,2015,3,False,True
A682017,Aj,2015-04-23 16:18:00,Transfer,Dog,Male,1.0,Labrador Retriever,Black/White,2015,4,True,True
A688761,,2014-09-23 13:22:00,Transfer,Cat,Female,0.019230769230769232,Domestic Shorthair,Torbie,2014,9,False,True
A684161,,2014-07-24 20:02:00,Adoption,Dog,Female,0.25,Border Collie,Black/White,2014,7,True,True
A701368,Kitty,2015-04-29 12:15:00,Transfer,Dog,Female,3.0,Miniature Poodle,Black/White,2015,4,False,False
A715202,Lana,2015-11-06 12:46:00,Transfer,Dog,Female,3.0,Chihuahua Longhair,White,2015,11,False,True
A691471,Munchies,2015-02-15 11:01:00,Transfer,Dog,Male,2.0,Pit Bull,Brown/White,2015,2,False,True
A712862,Chip,2015-10-06 13:59:00,Transfer,Dog,Male,7.0,Miniature Schnauzer,Black,2015,10,True,True
A684570,Blue,2014-10-18 18:05:00,Adoption,Cat,Male,0.25,Domestic Medium Hair,Blue,2014,10,True,True
A705260,Lilly,2015-06-17 15:46:00,Return_to_owner,Dog,Female,2.0,Pit Bull,White/Blue,2015,6,True,True
A652198,Essie,2014-07-06 16:16:00,Adoption,Dog,Female,2.0,Feist,Tan/White,2014,7,True,True
A664169,Twizzler,2014-03-27 10:39:00,Adoption,Dog,Male,2.0,Chihuahua Shorthair,Red,2014,3,True,True
A671199,,2014-01-28 17:33:00,Adoption,Dog,Male,0.16666666666666666,Chow Chow,Black/White,2014,1,True,False
A664071,,2013-10-09 13:16:00,Transfer,Cat,Male,0.25,Domestic Shorthair,White/Black,2013,10,True,True
A659352,Magic,2014-02-08 11:39:00,Adoption,Cat,Female,1.0,Domestic Shorthair,Black,2014,2,True,True
A715857,,2015-11-15 19:08:00,Transfer,Cat,Male,2.0,Domestic Shorthair,Brown Tabby,2015,11,False,True
A715736,,2015-11-10 09:00:00,Transfer,Cat,,0.8333333333333334,Domestic Longhair,Blue Tabby/White,2015,11,,True
A709539,Athena,2015-09-08 17:54:00,Adoption,Dog,Female,4.0,Rottweiler,Tricolor,2015,9,True,False
A652104,Clause,2015-11-22 11:17:00,Return_to_owner,Dog,Male,3.0,Chihuahua Shorthair,Brown,2015,11,True,True
A671067,,2014-01-21 17:12:00,Adoption,Dog,Female,0.25,Miniature Pinscher,Chocolate/Brown,2014,1,True,True
A702693,,2015-05-16 18:41:00,Transfer,Cat,,0.038461538461538464,Domestic Shorthair,Orange Tabby,2015,5,,True
A693687,Major,2015-03-27 14:52:00,Euthanasia,Dog,Male,1.0,American Staffordshire Terrier,Fawn,2015,3,True,True
A564774,Juicy,2015-02-15 14:14:00,Return_to_owner,Dog,Female,6.0,Carolina Dog,Brown,2015,2,True,False
A685699,Fuzz,2014-10-02 11:02:00,Adoption,Cat,Female,8.0,Domestic Shorthair,Black,2014,10,True,True
A675619,Bosco,2014-04-05 17:48:00,Adoption,Dog,Male,2.0,Chihuahua Shorthair,Chocolate/White,2014,4,True,True
A696544,Samantha,2015-03-04 11:06:00,Adoption,Dog,Female,2.0,Labrador Retriever,Black,2015,3,True,True
A719753,Kida,2016-01-30 18:19:00,Return_to_owner,Dog,Female,1.0,Australian Cattle Dog,Red Merle,2016,1,True,True
A672529,Lizzie,2014-02-16 13:45:00,Transfer,Dog,Female,0.25,Catahoula,White/Brown,2014,2,True,False
A671673,,2014-01-29 15:24:00,Transfer,Cat,Male,2.0,Domestic Shorthair,Blue,2014,1,False,True
A668596,,2013-12-13 11:40:00,Return_to_owner,Dog,Female,0.07692307692307693,Chihuahua Shorthair,Tricolor,2013,12,False,True
A694104,Max,2014-12-26 15:47:00,Transfer,Cat,Male,7.0,Persian,Brown Tabby,2014,12,True,True
A703208,Vaughn,2015-05-26 18:10:00,Adoption,Cat,Male,0.08333333333333333,Domestic Shorthair,Blue,2015,5,False,True
A690225,Capulin,2014-10-16 18:43:00,Return_to_owner,Dog,Male,10.0,Labrador Retriever,Black,2014,10,True,True
A685599,Buddy,2014-08-13 18:46:00,Adoption,Dog,Male,1.0,Soft Coated Wheaten Terrier,Cream/Black,2014,8,True,True
A663764,Betty,2013-10-05 18:22:00,Adoption,Dog,Female,2.0,Staffordshire,Blue/White,2013,10,True,True
A719677,Buda,2016-01-25 00:00:00,Transfer,Dog,Male,3.0,Dachshund,Red,2016,1,False,True
A715244,Smokey,2015-11-29 19:17:00,Adoption,Cat,Male,13.0,Domestic Shorthair,Silver Tabby,2015,11,True,True
A688142,Felipe,2014-09-16 17:48:00,Return_to_owner,Dog,Male,1.0,Chihuahua Shorthair,Brown,2014,9,True,True
A674899,Dinero,2014-03-25 11:49:00,Return_to_owner,Dog,Male,1.0,American Bulldog,Blue Cream/White,2014,3,False,True
A691990,Lucy,2014-11-30 14:21:00,Transfer,Dog,Female,1.0,Labrador Retriever,Yellow/White,2014,11,True,True
A709092,,2015-08-10 18:49:00,Adoption,Dog,Male,0.6666666666666666,Soft Coated Wheaten Terrier,Brown,2015,8,True,True
A709872,Princess,2015-08-21 14:48:00,Adoption,Dog,Female,0.6666666666666666,Chihuahua Shorthair,Red/White,2015,8,True,True
A681905,Lilly,2014-07-11 17:43:00,Adoption,Cat,Female,0.16666666666666666,Domestic Medium Hair,Black/White,2014,7,False,True
A670487,Edie,2014-02-16 16:43:00,Adoption,Dog,Female,6.0,Chihuahua Shorthair,Brown,2014,2,True,False
A685685,,2014-08-18 16:48:00,Adoption,Dog,Male,4.0,Miniature Schnauzer,Black,2014,8,True,True
A706411,Fiona,2015-07-03 17:34:00,Adoption,Dog,Female,0.4166666666666667,German Shepherd,Sable,2015,7,True,True
